1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	-0.000527
172	-0.0019872
173	-0.0042869
174	-0.0072105
175	-0.010546
176	-0.014118
177	-0.017793
178	-0.021468
179	-0.025068
180	-0.028542
181	-0.031851
182	-0.034975
183	-0.037901
184	-0.040631
185	-0.043178
186	-0.045561
187	-0.047805
188	-0.049936
189	-0.051978
190	-0.053955
191	-0.055884
192	-0.057782
193	-0.059658
194	-0.061522
195	-0.063377
196	-0.065226
197	-0.067067
198	-0.0689
199	-0.070721
200	-0.072527
201	-0.074314
202	-0.07608
203	-0.077821
204	-0.079535
205	-0.081221
206	-0.082878
207	-0.084505
208	-0.086102
209	-0.087671
210	-0.089211
211	-0.090725
212	-0.092213
213	-0.093676
214	-0.095117
215	-0.096534
216	-0.097931
217	-0.099308
218	-0.10066
219	-0.102
220	-0.10332
221	-0.10462
222	-0.10591
223	-0.10718
224	-0.10843
225	-0.10966
